"File","Line","Column","Rule","Message","Classification","Evidence"
"src/components/EditorialTrust.tsx","19","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/EditorialTrust.tsx","23","56","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/EditorialTrust.tsx","59","447","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/Header.tsx","3","34","@typescript-eslint/no-unused-vars","'Moon' is defined but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/Header.tsx","12","10","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/HomeNewsletter.tsx","49","58","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/NewsletterForm.tsx","48","21","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/NewsletterForm.tsx","52","58","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/OptimizedImage.tsx","9","18","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/Sidebar.tsx","7","17","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/Sidebar.tsx","45","35","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/analytics/ClarityScript.astro","10","56","prefer-rest-params","Use the rest parameters instead of 'arguments'.","pre-existing","Identical offending source line exists in HEAD."
"src/components/analytics/GTMScript.astro","19","7","no-var","Unexpected var, use let or const instead.","pre-existing","Identical offending source line exists in HEAD."
"src/components/report/DownloadButtons.tsx","5","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/report/DownloadButtons.tsx","6","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/report/DownloadButtons.tsx","7","14","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/report/DownloadButtons.tsx","8","16","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/report/DownloadButtons.tsx","21","31","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/sanity/JsonLd.tsx","14","50","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/sanity/PortableText.tsx","14","40","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","29","31","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","45","85","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","45","97","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","83","33","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","94","30","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","114","24","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","256","83","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","263","24","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/sanity/PortableText.tsx","323","78","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/components/seo/FAQSchema.tsx","5","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/seo/FAQSchema.tsx","16","36","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/ArticleTemplate.tsx","9","59","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/EventTemplate.tsx","30","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/EventTemplate.tsx","31","10","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/EventTemplate.tsx","32","10","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/EventTemplate.tsx","60","35","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/ProductTemplate.tsx","18","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/ProductTemplate.tsx","27","5","@typescript-eslint/no-unused-vars","'price' is assigned a value but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/ProductTemplate.tsx","28","5","@typescript-eslint/no-unused-vars","'currency' is assigned a value but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/ProductTemplate.tsx","163","50","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/ProductTemplate.tsx","192","94","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/QuickSummaryTable.tsx","10","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/TopTenTemplate.tsx","37","10","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/TopTenTemplate.tsx","38","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/TopTenTemplate.tsx","39","20","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/TopTenTemplate.tsx","70","21","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/templates/TopTenTemplate.tsx","403","49","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/Accordion.tsx","7","20","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","2","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","4","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","6","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","8","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","10","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","12","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","14","1","@typescript-eslint/ban-ts-comment","Use ""@ts-expect-error"" instead of ""@ts-ignore"", as ""@ts-ignore"" will do nothing if the following line is error-free.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","21","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/CodeBlock.tsx","34","25","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/InstitutionCard.tsx","20","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","92","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","111","16","@typescript-eslint/no-unused-vars","'error' is defined but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","122","31","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","123","46","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","130","33","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","132","88","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","133","37","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","134","45","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","138","35","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/ui/ProductCard.tsx","362","56","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/views/ArticleView.tsx","12","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/views/ArticleView.tsx","18","90","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/views/ArticleView.tsx","29","14","@typescript-eslint/no-unused-vars","'e' is defined but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/components/views/ProductView.tsx","5","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/views/RelatedContent.tsx","2","10","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/components/views/RelatedContent.tsx","3","13","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/env.d.ts","1","1","@typescript-eslint/triple-slash-reference","Do not use a triple slash reference for ../.astro/types.d.ts, use `import` style instead.","pre-existing","Identical offending source line exists in HEAD."
"src/env.d.ts","5","72","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/env.d.ts","42","11","@typescript-eslint/no-empty-object-type","An empty interface declaration allows any non-nullish value, including literals like `0` and `""""`. - If that's what you want, disable this lint rule with an inline comment or configure the 'allowInterfaces' rule option. - If you want a type meaning ""any object"", you probably want `object` instead. - If you want a type meaning ""any value"", you probably want `unknown` instead.","pre-existing","Identical offending source line exists in HEAD."
"src/env.d.ts","47","13","@typescript-eslint/no-empty-object-type","An interface declaring no members is equivalent to its supertype.","pre-existing","Identical offending source line exists in HEAD."
"src/layouts/BaseLayout.astro","56","41","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/layouts/BaseLayout.astro","57","14","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/layouts/BaseLayout.astro","160","17","parse","Parsing error: ';' expected.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/layouts/ToolLayout.astro","13","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/layouts/ToolLayout.astro","65","31","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/layouts/ToolLayout.astro","180","36","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/amazon-paapi/fetchDeals.ts","200","39","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/amazon-paapi/fetchDeals.ts","202","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/featureFlags.ts","92","15","@typescript-eslint/no-unused-vars","'_' is defined but never used.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","171","54","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","194","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","205","30","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","249","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","258","12","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","276","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","283","23","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","301","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","315","7","prefer-const","'appCategory' is never reassigned. Use 'const' instead.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","378","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","394","17","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","451","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","506","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","524","32","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","569","41","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","572","41","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","576","22","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","578","42","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","605","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","640","9","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/schemaGenerator.ts","646","18","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/topTenSections.ts","4","111","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/utils.ts","15","37","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/utils.ts","24","20","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/utils.ts","30","24","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/lib/utils/sanity-text.ts","4","34","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/[category]/[slug].astro","30","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/[slug].astro","75","38","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","35","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","71","53","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","84","28","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","87","30","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","90","18","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","92","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","101","28","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","132","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","202","35","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/[category]/index.astro","222","78","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/deals/index.astro","9","12","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/deals/index.astro","19","7","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/deals/index.astro","22","12","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/deals/index.astro","29","46","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/deals/index.astro","47","49","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","52","40","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","56","69","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","56","77","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","73","39","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","74","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","267","41","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","306","40","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/index.astro","336","43","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/report.astro","9","29","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/report.astro","123","36","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/report.astro","177","31","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/reviews/[slug].astro","22","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/reviews/[slug].astro","23","19","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/reviews/[slug].astro","24","23","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/reviews/[slug].astro","24","40","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/reviews/index.astro","14","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/reviews/index.astro","15","44","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/reviews/index.astro","37","26","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/reviews/index.astro","83","35","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/reviews/index.astro","132","60","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/search.astro","41","27","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/search.astro","52","12","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/search.astro","114","27","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/top-ten/[slug].astro","13","11","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD; remediation changed other lines in this file."
"src/pages/top-ten/index.astro","19","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/top-ten/index.astro","20","29","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/top-ten/index.astro","42","24","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
"src/pages/top-ten/index.astro","48","15","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","pre-existing","Identical offending source line exists in HEAD."
